Arrienda,Costo,Seguridad,Transporte,Ruido,Climatización,EstadoDeLaConstrucción
Si,203657,2,1,2,2,1
No,213497,1,1,1,2,2
Si,179326,2,2,2,3,2
Si,226969,1,1,2,2,1
Si,211000,1,1,3,2,1
Si,229594,1,1,3,2,1
No,285600,2,3,1,3,2
No,292780,3,3,2,2,2
Si,245702,1,1,3,2,1
Si,225694,1,1,2,2,1
Si,216746,2,1,2,2,1
Si,213744,2,1,3,2,1
Si,168863,2,1,3,1,3
Si,245555,2,1,3,2,1
No,208247,2,1,1,2,2
No,150000,2,3,1,3,2
No,150758,2,3,2,3,2
Si,240391,1,1,1,2,1
Si,232168,1,1,3,2,1
No,196931,3,2,1,3,2
No,181990,2,2,1,3,2
No,198347,2,2,2,3,3
No,151361,3,3,1,3,3
Si,240128,1,1,2,2,1
Si,238460,1,1,1,2,1
Si,226154,2,1,2,2,1
No,155228,2,3,1,3,2
Si,214176,2,1,3,2,2
Si,209323,2,1,1,2,1
Si,204800,2,1,2,2,1
No,159654,3,2,1,3,2
No,163488,3,2,2,3,3
Si,225746,2,1,1,2,1
No,186836,2,2,2,3,3
Si,198309,2,2,1,3,2
Si,237702,1,1,3,2,1
Si,229490,1,1,3,2,1
Si,188000,2,2,2,3,2
Si,171834,2,2,1,3,2
Si,173031,2,2,2,3,2
No,267505,2,2,3,3,2
Si,206054,2,1,2,2,1
Si,200800,2,1,2,2,1
Si,227332,1,1,1,2,1
Si,265000,1,1,1,2,1
Si,193445,2,2,1,3,2
Si,259526,1,1,1,1,1
Si,238437,2,1,2,2,1
No,194424,2,2,3,3,2
Si,239873,2,1,2,2,1
Si,215657,2,1,2,2,1
Si,232997,2,1,3,2,1
No,173926,3,3,1,3,2
Si,231069,2,1,3,2,1
Si,228800,2,1,3,2,1
Si,242994,1,1,2,2,1
Si,164700,2,3,3,3,2
No,140880,3,2,1,2,3
Si,242002,1,1,2,2,1
Si,221094,1,1,2,2,1
Si,213446,2,1,1,2,1
Si,214000,2,1,1,2,1
No,168863,3,3,2,3,3
Si,245555,1,1,3,2,1
Si,208247,2,1,3,2,1
No,150000,2,3,1,3,3
No,150758,3,3,1,3,3
Si,241091,1,1,2,2,1
Si,232168,2,1,1,2,1
Si,196931,2,2,2,3,2
Si,181990,2,2,3,3,2
Si,198347,2,2,3,3,2
No,151361,3,2,2,3,3
Si,240128,2,1,1,2,1
Si,238460,1,1,1,2,1
Si,226154,2,1,2,2,1
No,155228,3,3,3,3,3
Si,214176,2,2,2,2,1
Si,209523,2,2,1,2,1
Si,204880,1,2,1,2,1
No,159694,3,3,2,3,3
No,163478,3,3,2,3,3
Si,225746,2,1,1,2,1
No,182236,3,3,2,3,2
Si,198309,2,2,3,3,2
Si,237702,1,1,1,2,1
Si,229330,1,1,2,2,1
Si,188050,2,2,2,2,2
Si,161834,2,2,1,3,2
Si,173031,2,2,1,2,2
No,167505,2,2,1,3,3
Si,206774,2,1,2,2,1
Si,200800,2,1,1,2,1
Si,227332,2,1,1,2,1
Si,265660,1,1,1,1,1
No,193445,2,2,1,3,2
Si,259526,1,1,1,2,1
Si,238457,1,1,2,2,1
No,194424,2,2,2,3,2
Si,239573,1,1,2,2,1
