Arrienda,Costo,Seguridad,Transporte,Ruido,EstadoDeLaConstrucción
Si,203000,2,1,3,1
No,213000,3,3,1,3
Si,179000,2,1,2,1
Si,227000,1,2,2,2
Si,211000,1,2,3,1
Si,239500,1,1,3,2
No,285600,2,3,1,3
No,292700,2,3,2,3
Si,245700,1,1,3,2
Si,225600,1,1,2,1
Si,216700,2,1,2,2
Si,213700,2,1,3,1
Si,168800,2,1,3,2
Si,246000,2,1,3,1
No,208000,2,3,1,3
No,150000,2,3,1,2
No,151000,2,3,1,2
Si,240300,1,1,2,1
Si,233000,1,1,2,1
No,197000,3,2,1,2
No,182000,2,2,1,2
No,198000,2,2,2,3
No,151000,3,3,1,3
Si,240000,1,1,2,1
Si,238000,1,1,3,1
Si,226000,2,1,2,1
No,155000,3,2,1,2
Si,214000,2,1,3,2
Si,209000,2,1,2,1
Si,204000,2,1,2,1
No,160000,3,2,1,2
No,163000,3,2,2,3
Si,225000,2,1,2,1
No,186000,2,3,2,3
Si,198000,2,2,2,2
Si,237000,1,1,3,1
Si,223000,1,1,3,1
Si,188000,2,3,3,2
Si,171000,2,2,2,2
Si,173000,2,2,2,2
No,267000,2,2,3,2
Si,206000,2,1,2,1
Si,201000,2,1,2,1
Si,227000,1,1,3,1
Si,265000,1,1,2,1
Si,193400,2,2,3,2
Si,260000,1,1,1,1
Si,239000,2,1,2,1
No,195000,3,2,3,2
Si,240000,2,1,2,1
Si,215000,2,1,2,1
Si,232000,2,1,3,1
No,173000,3,3,1,2
Si,231000,2,1,3,1
Si,229000,2,1,3,1
Si,243000,1,1,2,1
Si,164700,2,3,3,2
No,141000,3,2,1,3
Si,242002,1,1,2,2
Si,221094,1,1,2,2
Si,213446,1,1,1,2
Si,214000,1,1,1,2
No,168863,3,3,2,3
Si,245555,1,1,3,1
Si,208247,2,1,3,1
No,150000,2,2,1,3
No,150758,3,2,1,2
Si,241091,1,1,2,1
Si,232168,2,1,1,1
Si,196931,2,2,2,2
Si,181990,2,2,3,2
Si,198347,2,2,3,2
No,151361,3,2,1,2
Si,240128,2,1,1,1
Si,238460,1,1,1,1
Si,226154,2,1,2,1
No,155228,3,3,1,3
Si,214176,2,2,2,2
Si,209523,2,2,1,2
Si,204880,1,2,1,2
No,159694,2,3,1,3
No,163478,2,3,2,2
Si,225746,2,1,3,1
No,182236,3,3,1,2
Si,198309,2,2,3,2
Si,237702,1,1,2,1
Si,229330,1,1,2,1
Si,188050,2,2,2,2
Si,161834,2,2,3,2
Si,173031,2,2,3,2
No,167505,3,2,1,3
Si,206774,2,1,2,1
Si,200800,2,1,2,1
Si,227332,2,1,3,1
Si,265660,1,1,1,1
No,193445,3,2,1,3
Si,259526,1,1,2,1
Si,238457,1,1,2,1
No,194424,2,2,1,3
Si,239573,1,1,2,1
